SiteName,DateOfDataEntry,LotNumber,PlottedFindNumber,RawMaterial,SievedPlotted,LithicArtifactClass,CortexPercentage,Mass,MaxLength,MaxWidth,MaxThickness,cortex_mp,Notes,Layer,Age
HOR-1,24/11/22,1783,77191,CrystalQuartz,plottedfind,CompFlake,0,1.57,21.01,10.42,8.07,0,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77117,CrystalQuartz,plottedfind,CompFlake,0.95,1.83,12.04,9.14,11.71,0.95,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77126,CrystalQuartz,plottedfind,CompFlake,0,1.21,17.28,15.69,6.82,0,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77124,CrystalQuartz,plottedfind,CompFlake,0,1.48,17.83,10.47,6.77,0,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77114,CrystalQuartz,plottedfind,CompFlake,0,0.73,11.78,12.98,4.71,0,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77118,CrystalQuartz,plottedfind,CompFlake,0.5,4.16,22.34,14.59,9.31,0.5,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77185,CrystalQuartz,plottedfind,CompFlake,0.25,0.94,12.52,8.67,5.81,0.25,possible red residue on dorsal face,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77181,CrystalQuartz,plottedfind,CompFlake,0.25,0.87,17.88,9.37,4.84,0.25,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77184,CrystalQuartz,plottedfind,CompFlake,0,1.48,18.52,9.57,7.3,0,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77123,CrystalQuartz,plottedfind,CompFlake,0.25,1.12,15.58,12.3,6.65,0.25,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77189,CrystalQuartz,plottedfind,CompFlake,0.5,0.48,14.7,6.98,4.64,0.5,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77182,CrystalQuartz,plottedfind,CompFlake,0.25,0.81,17.6,10.06,5.32,0.25,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77127,CrystalQuartz,plottedfind,CompFlake,0,1.51,14.46,11.91,8.75,0,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77119,CrystalQuartz,plottedfind,CompFlake,0.25,2.13,14.8,14.1,9.03,0.25,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77190,CrystalQuartz,plottedfind,CompFlake,0,1.21,19.03,10.66,6.7,0,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77187,CrystalQuartz,plottedfind,CompFlake,0.25,1.32,12.73,11.76,8.69,0.25,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77132,CrystalQuartz,plottedfind,CompFlake,0,0.97,17.41,8.72,6.41,0,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77125,CrystalQuartz,plottedfind,CompFlake,0,0.31,11.6,10.2,2.4,0,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1783,77116,CrystalQuartz,plottedfind,CompFlake,0,1.31,15.69,8.92,7.93,0,,"~16,000-20,000",TerminalLGM
HOR-1,24/11/22,1735,67384,CrystalQuartz,plottedfind,CompFlake,0.05,0.69,14.57,12.78,3.33,0.05,,"~14,000-17,000",TerminalLGM
HOR-1,24/11/22,1735,67385,CrystalQuartz,plottedfind,CompFlake,0.05,0.5,11.93,14.62,2.82,0.05,,"~14,000-17,000",TerminalLGM
HOR-1,24/11/22,1735,67396,CrystalQuartz,plottedfind,CompFlake,0.05,0.62,18.23,9.15,4.55,0.05,,"~14,000-17,000",TerminalLGM
HOR-1,24/11/22,1735,67391,CrystalQuartz,plottedfind,CompFlake,0,1.61,14.3,13.4,9.39,0,,"~14,000-17,000",TerminalLGM
HOR-1,24/11/22,1735,67389,CrystalQuartz,plottedfind,CompFlake,0,0.35,14.39,10.75,2.9,0,,"~14,000-17,000",TerminalLGM
HOR-1,24/11/22,1735,67398,CrystalQuartz,plottedfind,CompFlake,0,0.31,20.46,6.01,4.02,0,,"~14,000-17,000",TerminalLGM
HOR-1,24/11/22,1735,67394,CrystalQuartz,plottedfind,CompFlake,0,0.59,14.86,7.21,3.96,0,,"~14,000-17,000",TerminalLGM
HOR-1,24/11/22,1844,94112,CrystalQuartz,plottedfind,CompFlake,0.25,2.74,20.59,17.4,7.1,0.25,,"~17,000-18,000 CalBP",TerminalLGM
HOR-1,24/11/22,1844,94110,CrystalQuartz,plottedfind,CompFlake,0.25,0.9,16.32,6.3,10.56,0.25,,"~17,000-18,000 CalBP",TerminalLGM
HOR-1,24/11/22,1844,95147,CrystalQuartz,plottedfind,CompFlake,0.25,0.82,15.63,9.68,5.72,0.25,,"~17,000-18,000 CalBP",TerminalLGM
HOR-1,24/11/22,1844,95150,CrystalQuartz,plottedfind,CompFlake,0,0.17,11.88,3.11,4,0,,"~17,000-18,000 CalBP",TerminalLGM
HOR-1,24/11/22,1844,95149,CrystalQuartz,plottedfind,CompFlake,0,0.46,11.03,10.39,3.53,0,,"~17,000-18,000 CalBP",TerminalLGM
HOR-1,24/11/22,1752,69286,CrystalQuartz,plottedfind,CompFlake,0,1.63,24.61,13.75,5.2,0,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,69304,CrystalQuartz,plottedfind,CompFlake,0,0.78,18.97,10.93,3.33,0,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,68971,CrystalQuartz,plottedfind,CompFlake,0.5,4.61,27.86,21.19,8.45,0.5,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,72060,CrystalQuartz,plottedfind,CompFlake,0,1.13,12.3,18.88,6.38,0,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,69300,CrystalQuartz,plottedfind,CompFlake,0.25,0.89,13.71,10.61,6.75,0.25,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,69292,CrystalQuartz,plottedfind,CompFlake,0,1.41,18.85,10.72,5.52,0,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,70041,CrystalQuartz,plottedfind,CompFlake,0.75,1.05,16.99,18.14,4.62,0.75,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,64283,CrystalQuartz,plottedfind,CompFlake,0.25,2.34,21.96,13.23,9.11,0.25,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,72054,CrystalQuartz,plottedfind,CompFlake,0,2.76,24.28,13.33,8.3,0,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,69281,CrystalQuartz,plottedfind,CompFlake,0,1.72,20.56,13.21,6.97,0,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,69285,CrystalQuartz,plottedfind,CompFlake,0,1.42,20.11,13.61,5.15,0,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,69306,CrystalQuartz,plottedfind,CompFlake,0,1.83,37.7,8.71,9.31,0,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,69299,CrystalQuartz,plottedfind,CompFlake,0.05,0.64,14.85,17.34,2.94,0.05,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,70042,CrystalQuartz,plottedfind,CompFlake,0.5,2.18,16.25,15.7,9.49,0.5,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,70047,CrystalQuartz,plottedfind,CompFlake,0,1.48,12.1,15.19,9.37,0,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,70001,CrystalQuartz,plottedfind,CompFlake,0.05,2.18,20.1,13.33,7.57,0.05,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,72069,CrystalQuartz,plottedfind,CompFlake,0.25,2.98,31.37,25.28,6.47,0.25,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,69291,CrystalQuartz,plottedfind,CompFlake,0,5.16,29.94,21.03,8.24,0,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,68960,CrystalQuartz,plottedfind,CompFlake,0,2.24,21.57,25.35,6.27,0,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,70004,CrystalQuartz,plottedfind,CompFlake,0.5,1.83,19.44,13.58,6.07,0.5,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,68969,CrystalQuartz,plottedfind,CompFlake,0.75,0.32,10.04,14.73,2.8,0.75,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,70032,CrystalQuartz,plottedfind,CompFlake,0,0.24,10.28,9.85,2.77,0,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,72052,CrystalQuartz,plottedfind,CompFlake,0,0.59,9.58,12.24,4.46,0,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,70043,CrystalQuartz,plottedfind,CompFlake,0,0.46,7.36,14.18,5.43,0,,"~14,000-18,000",TerminalLGM
HOR-1,24/11/22,1752,69280,CrystalQuartz,plottedfind,CompFlake,0,9.79,29.05,26.78,14.13,0,,"~14,000-18,000",TerminalLGM
HOR-1,9/1/2023,927,31308,CrystalQuartz,plottedfind,CompFlake,0.25,4.68,21.8,17.04,10.99,0.25,,"~14,000-17,000",TerminalLGM
HOR-1,9/1/2023,927,31313,CrystalQuartz,plottedfind,CompFlake,0.25,2.47,23.76,10.35,7.89,0.25,,"~14,000-17,000",TerminalLGM
HOR-1,9/1/2023,927,31314,CrystalQuartz,plottedfind,CompFlake,0,0.47,14.46,10.08,3.08,0,,"~14,000-17,000",TerminalLGM
HOR-1,9/1/2023,927,31317,CrystalQuartz,plottedfind,CompFlake,0,1.46,17.78,13.93,7.09,0,,"~14,000-17,000",TerminalLGM
HOR-1,9/1/2023,927,31318,CrystalQuartz,plottedfind,CompFlake,0.25,1.13,19.14,23.23,3.9,0.25,,"~14,000-17,000",TerminalLGM
HOR-1,9/1/2023,927,31319,CrystalQuartz,plottedfind,CompFlake,0,1.33,15.39,17.1,5.07,0,,"~14,000-17,000",TerminalLGM
