location,terrestrial,latitude_x,longitude_y,number,material,transparency,shape,texture,structure,length,width,thickness,mass,cortex,cortex_midpoint,notes,date,samples,comments,volume,surface_area,cortical_surface_area,average_cortical_surface_area
11,Terrestrial,-11.657,33.646,1,quartz,opaque,sphere,coarse,mottled,,,,,40-59,0.5,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,2,quartz,opaque,right cylinder,fine,homogenous,,,,,100,1,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,3,quartz,opaque,right cylinder,coarse,homogenous,,,,,100,1,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,4,quartz,opaque,right cylinder,coarse,mottled,,,,,40-59,0.5,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,5,quartz,translucent,cube,fine,homogenous,,,,,10-39,0.25,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,6,quartz,translucent,cube,fine,homogenous,,,,,60-89,0.75,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,8,quartz,opaque,cube,coarse,homogenous,,,,,60-89,0.75,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,9,quartz,opaque,cube,coarse,homogenous,,,,,60-89,0.75,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,10,quartz,opaque,sphere,fine,homogenous,6.824,5.548,4.851,249.8,100,1,collected,11/7/2022,1,,94.62121212,100.4175904,100.4175904,
11,Terrestrial,-11.657,33.646,11,quartz,opaque,sphere,coarse,mottled,,,,,100,1,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,12,quartz,opaque,right cylinder,fine,homogenous,4.861,4.31,1.985,60.1,100,1,collected,11/7/2022,1,,22.76515152,47.05693599,47.05693599,
11,Terrestrial,-11.657,33.646,14,quartz,opaque,right cylinder,medium,homogenous,4.456,3.507,3.794,101.3,60-89,0.75,collected,11/7/2022,1,,38.37121212,66.64695233,49.98521425,
11,Terrestrial,-11.657,33.646,15,quartz,opaque,right cylinder,medium,mottled,,,,,60-89,0.75,collected,11/7/2022,1,,,,,
11,Terrestrial,-11.657,33.646,16,quartz,opaque,right cylinder,fine,homogenous,5.473,3.692,1.827,55.5,100,1,collected,11/7/2022,1,,21.02272727,44.62408454,44.62408454,
11,Terrestrial,-11.657,33.646,17,quartz,opaque,sphere,coarse,mottled,,,,,40-59,0.5,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,18,quartz,opaque,right cylinder,fine,homogenous,,,,,60-89,0.75,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,19,quartz,translucent,right cylinder,fine,homogenous,,,,,60-89,0.75,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,20,quartz,opaque,right cylinder,fine,homogenous,5.375,4.159,1.974,52,60-89,0.75,collected,11/7/2022,1,,19.6969697,42.72770437,32.04577827,
11,Terrestrial,-11.657,33.646,21,quartz,opaque,cube,coarse,mottled,,,,,100,1,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,23,quartz,opaque,sphere,fine,mottled,,,,,60-89,0.75,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,24,quartz,opaque,cube,fine,homogenous,,,,,60-89,0.75,,11/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,25,quartz,opaque,sphere,fine,mottled,,,,,60-89,0.75,,12/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,26,quartz,opaque,cube,coarse,homogenous,,,,,40-59,0.5,,12/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,27,quartz,opaque,cube,fine,mottled,,,,,40-59,0.5,,12/7/2022,,,,,,
11,Terrestrial,-11.657,33.646,28,quartz,opaque,sphere,coarse,mottled,,,,,100,1,,12/7/2022,,,,,,
